Incident Year,Month,Incident Category,Incident Datetime
2018,1,Arson,27
2018,1,Assault,723
2018,1,Burglary,619
2018,1,Case Closure,49
2018,1,Civil Sidewalks,24
2018,1,Courtesy Report,30
2018,1,Disorderly Conduct,196
2018,1,Drug Offense,334
2018,1,Drug Violation,3
2018,1,Embezzlement,23
2018,1,Family Offense,13
2018,1,Fire Report,18
2018,1,Forgery And Counterfeiting,62
2018,1,Fraud,390
2018,1,Gambling,4
2018,1,Homicide,1
2018,1,"Human Trafficking (A), Commercial Sex Acts",1
2018,1,Larceny Theft,4527
2018,1,Liquor Laws,2
2018,1,Lost Property,423
2018,1,Malicious Mischief,810
2018,1,Miscellaneous Investigation,100
2018,1,Missing Person,286
2018,1,Motor Vehicle Theft,421
2018,1,Non-Criminal,849
2018,1,Offences Against The Family And Children,210
2018,1,Other,74
2018,1,Other Miscellaneous,1067
2018,1,Other Offenses,98
2018,1,Prostitution,9
2018,1,Rape,3
2018,1,Recovered Vehicle,369
2018,1,Robbery,279
2018,1,Sex Offense,35
2018,1,Stolen Property,83
2018,1,Suicide,4
2018,1,Suspicious Occ,260
2018,1,Traffic Collision,21
2018,1,Traffic Violation Arrest,219
2018,1,Vandalism,7
2018,1,Vehicle Impounded,4
2018,1,Vehicle Misplaced,1
2018,1,Warrant,453
2018,1,Weapons Carrying Etc,120
2018,1,Weapons Offense,70
2018,2,Arson,26
2018,2,Assault,693
2018,2,Burglary,550
2018,2,Case Closure,76
2018,2,Civil Sidewalks,21
2018,2,Courtesy Report,34
2018,2,Disorderly Conduct,199
2018,2,Drug Offense,351
2018,2,Drug Violation,5
2018,2,Embezzlement,17
2018,2,Family Offense,18
2018,2,Fire Report,16
2018,2,Forgery And Counterfeiting,61
2018,2,Fraud,336
2018,2,Gambling,2
2018,2,Larceny Theft,3534
2018,2,Liquor Laws,1
2018,2,Lost Property,450
2018,2,Malicious Mischief,693
2018,2,Miscellaneous Investigation,97
2018,2,Missing Person,310
2018,2,Motor Vehicle Theft,366
2018,2,Motor Vehicle Theft?,3
2018,2,Non-Criminal,735
2018,2,Offences Against The Family And Children,231
2018,2,Other,80
2018,2,Other Miscellaneous,952
2018,2,Other Offenses,102
2018,2,Prostitution,51
2018,2,Rape,3
2018,2,Recovered Vehicle,317
2018,2,Robbery,314
2018,2,Sex Offense,29
2018,2,Stolen Property,84
2018,2,Suicide,3
2018,2,Suspicious,1
2018,2,Suspicious Occ,274
2018,2,Traffic Collision,12
2018,2,Traffic Violation Arrest,189
2018,2,Vandalism,10
2018,2,Vehicle Impounded,12
2018,2,Vehicle Misplaced,4
2018,2,Warrant,420
2018,2,Weapons Carrying Etc,72
2018,2,Weapons Offense,63
2018,3,Arson,30
2018,3,Assault,763
2018,3,Burglary,592
2018,3,Case Closure,72
2018,3,Civil Sidewalks,25
2018,3,Courtesy Report,44
2018,3,Disorderly Conduct,244
2018,3,Drug Offense,418
2018,3,Drug Violation,5
2018,3,Embezzlement,14
2018,3,Family Offense,17
2018,3,Fire Report,18
2018,3,Forgery And Counterfeiting,63
2018,3,Fraud,440
2018,3,Gambling,3
2018,3,Homicide,1
2018,3,"Human Trafficking (A), Commercial Sex Acts",4
2018,3,Larceny Theft,3714
2018,3,Liquor Laws,1
2018,3,Lost Property,455
2018,3,Malicious Mischief,776
2018,3,Miscellaneous Investigation,111
2018,3,Missing Person,332
2018,3,Motor Vehicle Theft,397
2018,3,Motor Vehicle Theft?,3
2018,3,Non-Criminal,831
2018,3,Offences Against The Family And Children,239
2018,3,Other,67
2018,3,Other Miscellaneous,976
2018,3,Other Offenses,90
2018,3,Prostitution,4
2018,3,Rape,2
2018,3,Recovered Vehicle,321
2018,3,Robbery,291
2018,3,Sex Offense,44
2018,3,Stolen Property,58
2018,3,Suicide,6
2018,3,Suspicious,1
2018,3,Suspicious Occ,225
2018,3,Traffic Collision,25
2018,3,Traffic Violation Arrest,176
2018,3,Vandalism,12
2018,3,Vehicle Impounded,1
2018,3,Vehicle Misplaced,5
2018,3,Warrant,463
2018,3,Weapons Carrying Etc,73
2018,3,Weapons Offense,56
2018,4,Arson,36
2018,4,Assault,803
2018,4,Burglary,596
2018,4,Case Closure,73
2018,4,Civil Sidewalks,44
2018,4,Courtesy Report,32
2018,4,Disorderly Conduct,235
2018,4,Drug Offense,345
2018,4,Drug Violation,3
2018,4,Embezzlement,26
2018,4,Family Offense,21
2018,4,Fire Report,13
2018,4,Forgery And Counterfeiting,70
2018,4,Fraud,415
2018,4,Homicide,1
2018,4,"Human Trafficking (A), Commercial Sex Acts",3
2018,4,Larceny Theft,3752
2018,4,Lost Property,466
2018,4,Malicious Mischief,781
2018,4,Miscellaneous Investigation,121
2018,4,Missing Person,307
2018,4,Motor Vehicle Theft,388
2018,4,Motor Vehicle Theft?,6
2018,4,Non-Criminal,791
2018,4,Offences Against The Family And Children,255
2018,4,Other,74
2018,4,Other Miscellaneous,1027
2018,4,Other Offenses,84
2018,4,Prostitution,16
2018,4,Rape,4
2018,4,Recovered Vehicle,305
2018,4,Robbery,241
2018,4,Sex Offense,38
2018,4,Stolen Property,53
2018,4,Suicide,4
2018,4,Suspicious,2
2018,4,Suspicious Occ,241
2018,4,Traffic Collision,20
2018,4,Traffic Violation Arrest,179
2018,4,Vandalism,8
2018,4,Vehicle Impounded,10
2018,4,Vehicle Misplaced,8
2018,4,Warrant,490
2018,4,Weapons Carrying Etc,58
2018,4,Weapons Offense,56
2018,5,Arson,6
2018,5,Assault,163
2018,5,Burglary,149
2018,5,Case Closure,12
2018,5,Civil Sidewalks,22
2018,5,Courtesy Report,8
2018,5,Disorderly Conduct,49
2018,5,Drug Offense,75
2018,5,Embezzlement,8
2018,5,Family Offense,1
2018,5,Fire Report,1
2018,5,Forgery And Counterfeiting,16
2018,5,Fraud,105
2018,5,Homicide,1
2018,5,"Human Trafficking (A), Commercial Sex Acts",2
2018,5,Larceny Theft,901
2018,5,Lost Property,123
2018,5,Malicious Mischief,175
2018,5,Miscellaneous Investigation,29
2018,5,Missing Person,69
2018,5,Motor Vehicle Theft,103
2018,5,Motor Vehicle Theft?,2
2018,5,Non-Criminal,205
2018,5,Offences Against The Family And Children,54
2018,5,Other,17
2018,5,Other Miscellaneous,233
2018,5,Other Offenses,32
2018,5,Prostitution,3
2018,5,Recovered Vehicle,72
2018,5,Robbery,54
2018,5,Sex Offense,14
2018,5,Stolen Property,8
2018,5,Suspicious Occ,56
2018,5,Traffic Collision,1
2018,5,Traffic Violation Arrest,47
2018,5,Vandalism,4
2018,5,Vehicle Misplaced,1
2018,5,Warrant,97
2018,5,Weapons Carrying Etc,20
2018,5,Weapons Offense,11
2019,1,Arson,25
2019,1,Assault,679
2019,1,Burglary,532
2019,1,Case Closure,63
2019,1,Civil Sidewalks,62
2019,1,Courtesy Report,40
2019,1,Disorderly Conduct,225
2019,1,Drug Offense,311
2019,1,Drug Violation,5
2019,1,Embezzlement,20
2019,1,Family Offense,14
2019,1,Fire Report,7
2019,1,Forgery And Counterfeiting,66
2019,1,Fraud,375
2019,1,Gambling,2
2019,1,Homicide,1
2019,1,"Human Trafficking (A), Commercial Sex Acts",1
2019,1,Larceny Theft,3684
2019,1,Liquor Laws,4
2019,1,Lost Property,417
2019,1,Malicious Mischief,731
2019,1,Miscellaneous Investigation,111
2019,1,Missing Person,281
2019,1,Motor Vehicle Theft,418
2019,1,Motor Vehicle Theft?,3
2019,1,Non-Criminal,760
2019,1,Offences Against The Family And Children,239
2019,1,Other,95
2019,1,Other Miscellaneous,933
2019,1,Other Offenses,100
2019,1,Prostitution,52
2019,1,Rape,9
2019,1,Recovered Vehicle,391
2019,1,Robbery,291
2019,1,Sex Offense,29
2019,1,Stolen Property,83
2019,1,Suicide,10
2019,1,Suspicious Occ,225
2019,1,Traffic Collision,26
2019,1,Traffic Violation Arrest,155
2019,1,Vandalism,16
2019,1,Vehicle Impounded,8
2019,1,Vehicle Misplaced,5
2019,1,Warrant,453
2019,1,Weapons Carrying Etc,81
2019,1,Weapons Offense,88
2019,2,Arson,20
2019,2,Assault,542
2019,2,Burglary,469
2019,2,Case Closure,85
2019,2,Civil Sidewalks,28
2019,2,Courtesy Report,26
2019,2,Disorderly Conduct,223
2019,2,Drug Offense,284
2019,2,Drug Violation,1
2019,2,Embezzlement,16
2019,2,Family Offense,13
2019,2,Fire Report,11
2019,2,Forgery And Counterfeiting,50
2019,2,Fraud,382
2019,2,Gambling,1
2019,2,Larceny Theft,3418
2019,2,Liquor Laws,1
2019,2,Lost Property,441
2019,2,Malicious Mischief,615
2019,2,Miscellaneous Investigation,103
2019,2,Missing Person,246
2019,2,Motor Vehicle Theft,397
2019,2,Motor Vehicle Theft?,2
2019,2,Non-Criminal,658
2019,2,Offences Against The Family And Children,227
2019,2,Other,100
2019,2,Other Miscellaneous,839
2019,2,Other Offenses,70
2019,2,Prostitution,69
2019,2,Rape,3
2019,2,Recovered Vehicle,319
2019,2,Robbery,228
2019,2,Sex Offense,43
2019,2,Stolen Property,59
2019,2,Suicide,4
2019,2,Suspicious Occ,195
