Incident Year,Incident Date,Number of  Crimes
2018,2018/01/01,508
2018,2018/01/02,398
2018,2018/01/03,430
2018,2018/01/04,472
2018,2018/01/05,454
2018,2018/01/06,453
2018,2018/01/07,393
2018,2018/01/08,348
2018,2018/01/09,422
2018,2018/01/10,419
2018,2018/01/11,421
2018,2018/01/12,467
2018,2018/01/13,441
2018,2018/01/14,398
2018,2018/01/15,415
2018,2018/01/16,371
2018,2018/01/17,404
2018,2018/01/18,413
2018,2018/01/19,481
2018,2018/01/20,386
2018,2018/01/21,375
2018,2018/01/22,452
2018,2018/01/23,453
2018,2018/01/24,417
2018,2018/01/25,450
2018,2018/01/26,488
2018,2018/01/27,456
2018,2018/01/28,401
2018,2018/01/29,423
2018,2018/01/30,448
2018,2018/01/31,465
2018,2018/02/01,474
2018,2018/02/02,438
2018,2018/02/03,414
2018,2018/02/04,329
2018,2018/02/05,390
2018,2018/02/06,443
2018,2018/02/07,420
2018,2018/02/08,472
2018,2018/02/09,466
2018,2018/02/10,453
2018,2018/02/11,352
2018,2018/02/12,415
2018,2018/02/13,362
2018,2018/02/14,435
2018,2018/02/15,444
2018,2018/02/16,400
2018,2018/02/17,451
2018,2018/02/18,389
2018,2018/02/19,376
2018,2018/02/20,454
2018,2018/02/21,440
2018,2018/02/22,447
2018,2018/02/23,430
2018,2018/02/24,458
2018,2018/02/25,418
2018,2018/02/26,398
2018,2018/02/27,404
2018,2018/02/28,448
2018,2018/03/01,474
2018,2018/03/02,391
2018,2018/03/03,406
2018,2018/03/04,398
2018,2018/03/05,379
2018,2018/03/06,347
2018,2018/03/07,392
2018,2018/03/08,394
2018,2018/03/09,428
2018,2018/03/10,419
2018,2018/03/11,287
2018,2018/03/12,392
2018,2018/03/13,406
2018,2018/03/14,421
2018,2018/03/15,400
2018,2018/03/16,457
2018,2018/03/17,400
2018,2018/03/18,397
2018,2018/03/19,402
2018,2018/03/20,382
2018,2018/03/21,371
2018,2018/03/22,403
2018,2018/03/23,475
2018,2018/03/24,394
2018,2018/03/25,388
2018,2018/03/26,348
2018,2018/03/27,449
2018,2018/03/28,446
2018,2018/03/29,382
2018,2018/03/30,455
2018,2018/03/31,427
2018,2018/04/01,407
2018,2018/04/02,405
2018,2018/04/03,383
2018,2018/04/04,444
2018,2018/04/05,415
2018,2018/04/06,416
2018,2018/04/07,383
2018,2018/04/08,350
2018,2018/04/09,404
2018,2018/04/10,419
2018,2018/04/11,504
2018,2018/04/12,377
2018,2018/04/13,504
2018,2018/04/14,422
2018,2018/04/15,380
2018,2018/04/16,418
2018,2018/04/17,398
2018,2018/04/18,457
2018,2018/04/19,443
2018,2018/04/20,486
2018,2018/04/21,371
2018,2018/04/22,365
