Incident Year,Month/Day,Number of  Crimes
2018,1/1,508
2018,1/10,419
2018,1/11,421
2018,1/12,467
2018,1/13,441
2018,1/14,398
2018,1/15,415
2018,1/16,371
2018,1/17,404
2018,1/18,413
2018,1/19,481
2018,1/2,398
2018,1/20,386
2018,1/21,375
2018,1/22,452
2018,1/23,453
2018,1/24,417
2018,1/25,450
2018,1/26,488
2018,1/27,456
2018,1/28,401
2018,1/29,423
2018,1/3,430
2018,1/30,448
2018,1/31,465
2018,1/4,472
2018,1/5,454
2018,1/6,453
2018,1/7,393
2018,1/8,348
2018,1/9,422
2018,2/1,474
2018,2/10,453
2018,2/11,352
2018,2/12,415
2018,2/13,362
2018,2/14,435
2018,2/15,444
2018,2/16,400
2018,2/17,451
2018,2/18,389
2018,2/19,376
2018,2/2,438
2018,2/20,454
2018,2/21,440
2018,2/22,447
2018,2/23,430
2018,2/24,458
2018,2/25,418
2018,2/26,398
2018,2/27,404
2018,2/28,448
2018,2/3,414
2018,2/4,329
2018,2/5,390
2018,2/6,443
2018,2/7,420
2018,2/8,472
2018,2/9,466
2018,3/1,474
2018,3/10,419
2018,3/11,287
2018,3/12,392
2018,3/13,406
2018,3/14,421
2018,3/15,400
2018,3/16,457
2018,3/17,400
2018,3/18,397
2018,3/19,402
2018,3/2,391
2018,3/20,382
2018,3/21,371
2018,3/22,403
2018,3/23,475
2018,3/24,394
2018,3/25,388
2018,3/26,348
2018,3/27,449
2018,3/28,446
2018,3/29,382
2018,3/3,406
2018,3/30,455
2018,3/31,427
2018,3/4,398
2018,3/5,379
2018,3/6,347
2018,3/7,392
2018,3/8,394
2018,3/9,428
2018,4/1,407
2018,4/10,419
2018,4/11,504
2018,4/12,377
2018,4/13,504
2018,4/14,422
2018,4/15,380
2018,4/16,418
2018,4/17,398
2018,4/18,457
2018,4/19,443
2018,4/2,405
2018,4/20,486
2018,4/21,371
2018,4/22,365
2018,4/23,369
2018,4/24,397
2018,4/25,514
2018,4/26,432
2018,4/27,448
2018,4/28,421
2018,4/29,363
2018,4/3,383
2018,4/30,408
2018,4/4,444
2018,4/5,415
2018,4/6,416
2018,4/7,383
2018,4/8,350
2018,4/9,404
2018,5/1,467
2018,5/2,423
2018,5/3,388
2018,5/4,481
2018,5/5,438
2018,5/6,390
2018,5/7,362
2019,1/1,457
2019,1/10,399
2019,1/11,395
2019,1/12,369
2019,1/13,357
2019,1/14,406
2019,1/15,353
2019,1/16,344
2019,1/17,370
2019,1/18,400
2019,1/19,483
2019,1/2,393
2019,1/20,294
2019,1/21,407
2019,1/22,410
2019,1/23,416
2019,1/24,373
2019,1/25,466
2019,1/26,386
2019,1/27,370
2019,1/28,372
2019,1/29,397
2019,1/3,393
2019,1/30,405
2019,1/31,430
2019,1/4,427
2019,1/5,404
2019,1/6,287
2019,1/7,355
2019,1/8,402
2019,1/9,406
2019,2/1,518
2019,2/10,368
2019,2/11,361
2019,2/12,399
2019,2/13,367
2019,2/14,329
2019,2/15,467
2019,2/16,374
2019,2/17,333
2019,2/18,361
2019,2/19,411
2019,2/2,426
2019,2/20,502
2019,2/21,437
2019,2/22,433
2019,2/23,361
2019,2/24,343
2019,2/25,453
2019,2/26,314
2019,2/27,380
2019,2/28,410
2019,2/3,327
2019,2/4,371
2019,2/5,396
2019,2/6,378
2019,2/7,357
2019,2/8,415
2019,2/9,387
2019,3/1,426
2019,3/10,348
2019,3/11,380
2019,3/12,429
2019,3/13,336
2019,3/14,361
2019,3/15,398
2019,3/16,418
2019,3/17,330
2019,3/18,396
2019,3/19,402
2019,3/2,360
2019,3/20,364
2019,3/21,428
2019,3/22,413
2019,3/23,339
2019,3/24,334
